Título,URL,Estado,Frecuencia,Tamaño,Hastags,Materia
"IES Atenea (Mairena del Aljarafe, Sevilla)",https://www.iatenea.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Ciudad de Baza (Baza, Granada)",https://blogsaverroes.juntadeandalucia.es/ceipciudaddebaza/,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
Guadalhorce.net,http://www.guadalhorce.net,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
Colegio Oficial de Graduados Sociales de Almería,https://www.cgsalmeria.com/index.php,Activa,Semestral,Pequeno,Derecho / Graduados sociales / Asociaciones / Almería,Derecho
"CEIP San Nicolás (Adra, Almería)",https://blogsaverroes.juntadeandalucia.es/ceipsannicolas/,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Juan Ramón Jiménez (Cartaya, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21000863/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"Almazara Campopineda (Piñar, Granada)",https://www.aceitescampopineda.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
"Harveys (Jerez de la Frontera, Cádiz)",https://harveys.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
Agrupación de Hermandades y Cofradías de Almería,https://cofradiasdealmeria.es,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Almería,Religión
Fundación Pública Andaluza para la Gestión de la Investigación en Salud de Sevilla,https://fisevi.com,Activa,Semestral,Pequeno,Salud pública / Investigación / Asociaciones / Sevilla,Salud pública
IES La Fuensanta (Córdoba),https://www.ieslafuensanta.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
IES Portada Alta (Málaga),https://iesportada.org/joomla/,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"Aceites de oliva del Sur (Bujalance, Córdoba)",https://www.aceitesdeolivadelsur.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
"CEIP Santo Domingo de Silos (Bormujos, Sevilla)",https://ceipsantodomingodesilos.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"IES Kursaal (Algeciras, Cádiz)",https://ieskursaal.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
