Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
"Ocho huellas (Los Palacios y Villafranca, Sevilla)",http://8huellas.com,Inactiva,Anual,Mediano,Cerveza / Industria de las bebidas / Sevilla,Bebidas
Asociación Andaluza de Medicina y Seguridad en el Trabajo,http://aamst.es,Activa,Semestral,Pequeno,Medicina del trabajo / Asociaciones / Andalucía,Medicina
"Loaimes, Los (Cogollos Vega, Granada)",http://aceitedecogollos.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Granada,Alimentaria
"Asociación de Productores y Transformadores de Aceite de Oliva del Poniente de Granada (Montefrío, Granada)",http://aceitesdelponiente.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada / Asociaciones,Alimentaria
"Aceites de Sierra de Yeguas (Sierra de Yeguas, Málaga)",http://aceitesierrayeguas.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Málaga,Alimentaria
Aceites Torres Patiño (Córdoba),http://aceitestorrespatino.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Córdoba,Alimentaria
Actualidad Almanzora,http://actualidadalmanzora.blogspot.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Almería / Andalucía,Prensa
Agrupación de Cofradías de Lucena (Córdoba),http://agrupaciondecofradiasdelucena.blogspot.com,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Córdoba,Religión
Aguilar noticias.com,http://aguilarnoticias.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
"Al-Alba Teatro (Osuna, Sevilla)",http://alalbateatro.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Sevilla,Arte
Ciudadanos - Almería - (Cs - Almería),http://almeria.ciudadanos-cs.org,Activa,Semestral,Pequeno,Política / Instituciones políticas / Partidos políticos / Ciudadanos - Partido de la Ciudadanía (Cs) / Almería,Política
"CEIP Álvarez Sotomayor (Cuevas de Almanzora, Almería)",http://alvarezsotomayor.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Al-Yussana (Lucena, Córdoba)",http://al-yussanabilingue.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
Sociedad de Amigos del Real Jardín Botánico de Córdoba,http://amigosbotanicocordoba.es,Activa,Anual,Mediano,Plantas / Jardines botánicos / Asociaciones / Córdoba,Botánica
Asociación Amigos del Lobo de Sierra Morena,http://amigosdellobodesierramorena.blogspot.com,Activa,Semestral,Pequeno,Animales / Lobos / Asociaciones / Córdoba,Zoología
Asociación Amigos del Teatro Ciudad de Marbella (Málaga),http://amigosdelteatromarbella.es,Activa,Semestral,Pequeno,Teatro / Asociaciones / Málaga,Arte
"CEIP Antonia Santaolalla (Taberno, Almería)",http://antoniasantaolallataberno.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Antonio Machado (Espera, Cádiz)",http://antoniomachadoespera.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Molino aceitero “La Molina” (Málaga),http://anvioro.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Málaga,Alimentaria
"S.C.A. Sagrado Corazón de Jesús (Las Casillas, Jaén)",http://aovelascasillas.com,Activa,Anual,Mediano,Aceite de oliva / Almazara / Cooperativas / Jaén,Alimentaria
Asociación de la prensa de Jerez,http://apjerez.blogspot.com,Activa,Mensual,Pequeno,Periodismo / Periodistas / Asociaciones / Jerez,Prensa
"CEIP Josefa Gavala (Lebrija, Sevilla)",http://aprendiendoaaprenderenelcole.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
Coro Ars Canendi de Sevilla,http://arscanendi.com,Activa,Anual,Mediano,Música coral / Coros / Asociaciones / Sevilla,Música
"CEIP Arturo del Moral (Cabra del Santo Cristo, Jaén)",http://arturodelmoral.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
Asociación de Amigos del Ferrocarril de Almería,http://asafal.es,Activa,Anual,Mediano,Transportes / Ferrocarriles / Asociaciones / Almería,Transporte
Asociación Andaluza de Urología,http://asociacionandaluzadeurologia.net,Activa,Semestral,Pequeno,Medicina / Urología / Asociaciones / Andalucía,Medicina
Asociación Andaluza de Profesionales de la Danza,http://asociacionpad.feced.org,Activa,Semestral,Pequeno,Danza / Artistas / Asociación / Andalucía,Arte
Asociación de la prensa de Córdoba,http://asprencor.com,Activa,Mensual,Pequeno,Periodismo / Periodistas / Asociaciones / Córdoba,Prensa
"CEIP Europa (Linares, Jaén)",http://auladigitaleuropa.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Andalucía (Linares, Jaén)",http://aventurasaber.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
Ayuntamiento de Ogíjares,http://ayuntamientodeogijares.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Granada,Administración
"CEIP Bahía de Barbate (Barbate, Cádiz)",http://bahiadebarbate.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Bamba Craftbeer (Alcalá de Gudaira, Sevilla)",http://bambacraftbeer.com,Inactiva,Anual,Mediano,Cerveza / industria de las bebidas / Sevilla,Bebidas
"CEIP Nuestra Señora de Belén (Gines, Sevilla)",http://belengines.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Albaicín (Sanlúcar de Barrameda, Cádiz)",http://biblioceipalbaicin.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Cádiz,Educación
"CEIP Ntra. Sra. del Rosario (Luque, Córdoba)",http://bibliotecacoleluque.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
Biblioteca Pública de Gines (Sevilla),http://bibliotecapublicagines.blogspot.com,Activa,Semestral,Mediano,Bibliotecas / Patrimonio bibliográfico y documental / Instituciones culturales / Sevilla,Bibliotecas
"CEIP Francisco de Velasco (Baza, Granada)",http://bilingualfranciscodevelasco.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Pino Flores (Sevilla),http://blogceipinoflores.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Sohail (Fuengirola, Málaga)",http://blogceipsohail.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Ntra. Sra. de la Peña (Añora, Córdoba)",http://bloglafontana.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Córdoba,Educación
CEIP Los Almendros (Almería),http://bloglosalmendros.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP San Felipe (La Línea de la Concepción, Cádiz)",http://blogsanfelipe.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Bodega Los Infantes Orleans Borbón (Sanlúcar de Barrameda, Cádiz)",http://bodegaorleansborbon.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Cabriñanas (Montilla, Córdoba)",http://bodegarockera.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Córdoba,Bebidas
Bodegas Andrade (Bollullos Par del Condado (Huelva),http://bodegasandrade.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Huelva,Bebidas
"Bodegas Fuente Reina (Constantina, Sevilla)",http://bodegasfuentereina.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Sevilla,Bebidas
"Bodegas Grant (Puerto de Santa María, Cádiz)",http://bodegasgrant.com,Inactiva,Anual,Mediano,Vinos / Brandy / Bodega / /Industria de las bebidas / Cádiz,Bebidas
Bodegas Juan Piñero (Sanlúcar de Barrameda (Cádiz),http://bodegasjuanpinero.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Luís Pérez (Jerez de la Frontera, Cádiz)",http://bodegasluisperez.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Bodegas Luque (Doña Mencía, Córdoba)",http://bodegasluque.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Córdoba,Bebidas
"Bodegas Sillero (La Rambla, Córdoba)",http://bodegassillero.com/cgi-sys/suspendedpage.cgi,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Córdoba,Bebidas
"Bodegas Villagran (Campocámara, Granada)",http://bodegasvillagran.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Granada,Bebidas
"Cab Beer (Montilla, Córdoba)",http://cabbeer.blogspot.com,Activa,Anual,Mediano,Cerveza / Industria de las bebidas / Córdoba,Bebidas
Cabra información,http://cabrainformacion.com,Inactiva,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
Ciudadanos - Cádiz - (Cs - Cádiz),http://cadiz.ciudadanos-cs.org,Activa,Semestral,Pequeno,Política / Instituciones políticas / Partidos políticos / Ciudadanos - Partido de la Ciudadanía (Cs) / Cádiz,Política
"Café Teatro Pay-Pay (Algeciras, Cádiz)",http://cafeteatropaypay.com,Activa,Semestral,Pequeno,Teatros / Cádiz,Arte
"Bodega Callejuela (Sanlúcar de Barrameda, Cádiz)",http://callejuela.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Alimentaria
"CEIP Carlos III (Guarromán, Jaén)",http://carlos3guarroman.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP María Auxiliadora (Carratraca, Málaga)",http://carracoles.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Castillo de Anzur (Puente Genil, Córdoba)",http://castillodeanzur.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"Castillo de la Estrella (Teba, Málaga)",http://castillodelaestrella.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Málaga,Alimentaria
"La Jerezana cerveza artesana (Jerez de la Frontera, Cádiz)",http://catarte.com,Inactiva,Anual,Mediano,Cerveza / Industria de las bebidas / Cádiz,Bebidas
"CEIP Virgen de Linarejos (Linares, Jaén)",http://ceevirgenlinarejos.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Ramón y Cajal (Ogíjares, Granada)",http://ceip18007241.blogspot.com/p/conocenos.html,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP 19 de Abril (Dos Hermanas, Sevilla)",http://ceip19deabril.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
CEIP Adolfo de Castro (Cádiz),http://ceipadolfodecastro.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Albaicín (El Viso del Alcor, Sevilla)",http://ceipalbaicin.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
CEIP Alfares (Sevilla),http://ceipalfares.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Algazara (Alhaurín de la Torre, Málaga)",http://ceipalgazara.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Alicún-Huécija (Alicún, Almería)",http://ceipalicunhuecija.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
CEIP Almudena Grandes (Málaga),http://ceipalmudenagrandes.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Andalucía Francisco Soria (Algámitas, Sevilla)",http://ceipandaluciafranciscosoria.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP  Ángel Carrillo (Priego de Córdoba, Córdoba)",http://ceipangelcarrillo.blogspot.com,Inactiva,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
CEIP Antonio Gala (Córdoba),http://ceip-antoniogala.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Antonio Guerrero (Aljaraque, Huelva)",http://ceipantonioguerrero.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Antonio Machado (Alcalá de Guadaíra, Sevilla)",http://ceipantoniomachado.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
CEIP Antonio Machado (Málaga),http://ceipantoniomachadomalaga.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Antonio Pérez Cerezo (Martos, Jaén)",http://ceipantonioperezcerezo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
CEIP Ardira (Málaga),http://ceipardira.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
CEIP Arturo Reyes (Málaga),http://ceiparturoreyesmalaga.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP La Atalaya (Níjar, Almería)",http://ceipatalaya1969.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
CEIP Azahares (Sevilla),http://ceipazahares.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Azorín (Villarrasa, Huelva)",http://ceipazorinvillarrasa.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP San Francisco (Cájar, Granada)",http://ceipcajar.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Camposoto (San Fernando, Cádiz)",http://ceipcamposoto.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
CEIP Cándido Nogales (Jaén),http://ceipcandidonogales.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Nuestra Señora de los Remedios (Canena, Jaén)",http://ceipcanena.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Carlos III (Santa Elena, Jaén)",http://ceipcarlosiii.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Carlos III (La Carlota, Córdoba)",http://ceipcarlostercero.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Cervantes (Dos Hermanas, Sevilla)",http://ceipcervantesdoshermanas.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP César Barrios (Lepe, Huelva)",http://ceipcesarbarrioslepe.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Cristo de la Expiración (Galera, Granada)",http://ceipcristodelaexpiraciongalera.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Cristo de la Fe (Diezma, Granada)",http://ceipcristodelafediezma.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Cronista Rey Díaz (Córdoba),http://ceipcronista.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Custodio Puga (Torre del Mar, Málaga)",http://ceipcustodiopuga29008462.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
CEIP Nuestra Señora de la Luz (Málaga),http://ceipdelaluz.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Santa Teresa de Jesús (Siles, Jaén)",http://ceipdesiles.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Doctor Fléming (Jódar, Jaén)",http://ceipdoctorflemingjodar.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Doctor Jiménez Rueda (Atarfe, Granada)",http://ceipdrjimenezrueda.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP Duques de Alba (Gelves, Sevilla)",http://ceipduquesdealba.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Nuestra Señora del Carmen (Dúrcal, Granada)",http://ceipdurcaleras.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"CEIP El Albero (Las Lagunas, Málaga)",http://ceipelalberomijas.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP El Castillo (Morón de la Frontera, Sevilla)",http://ceipelcastillo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP El Castillo (Chiclana de la Frontera, Cádiz)",http://ceipelcastillochiclana.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP García del Olmo (Mijas, Málaga)",http://ceipelolmo.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP El Puntal (Bédar, Almería)",http://ceipelpuntal.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
CEIP El Torcal (Málaga),http://ceipeltorcal.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP El Valle - Joaquín Muñoz Ruiz (El Valle, Granada)",http://ceipelvalle.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
CEIP Fernán Pérez de Oliva (Córdoba),http://ceipfernanperezdeoliva.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
